Gene ID/title,logFC,adj.P.Val,"LEC control, rep1","LEC KSHV 72h, rep1","LEC control, rep2","LEC KSHV 72h, rep2","LEC control, rep3","LEC KSHV 72h, rep3","LEC control, rep4","LEC KSHV 72h, rep4","LEC control, rep5","LEC KSHV 72h, rep5","LEC control, rep6","LEC KSHV 72h, rep6"
10346,-0.29050,0.0057380,10.355,10.002,10.293,10.185,10.294,10.128,10.111,9.7253,10.208,9.7691,10.230,9.9390
83955,-0.18000,0.0057790,10.620,10.491,10.582,10.474,10.759,10.519,10.820,10.482,10.617,10.510,10.649,10.491
29945,-0.17921,0.0057979,8.4752,8.2688,8.3218,8.2642,8.5468,8.2898,8.4897,8.2396,8.4027,8.2081,8.3394,8.2300
114932,-0.21029,0.0058618,9.8549,9.4833,9.5848,9.3982,9.6095,9.4430,9.7217,9.3801,9.6127,9.4826,9.5101,9.4448
2512,-0.14119,0.0059135,13.441,13.294,13.437,13.235,13.425,13.290,13.441,13.296,13.444,13.302,13.418,13.341
79801,-0.65180,0.0059441,8.2985,7.5785,7.9745,7.0209,8.1005,7.7012,8.8100,7.9292,8.6934,8.1454,8.2790,7.8699
7905,0.15179,0.0059649,10.504,10.606,10.465,10.600,10.392,10.535,10.426,10.560,10.401,10.647,10.437,10.588
9984,-0.19001,0.0059793,8.5588,8.3051,8.7262,8.3110,8.4608,8.3891,8.5383,8.3815,8.5599,8.3968,8.4473,8.3678
57169,0.29136,0.0060053,8.8627,9.4988,9.1407,9.4120,9.1286,9.3271,8.8924,9.0888,8.9754,9.0806,8.9428,9.2834
3029,0.21169,0.0060246,8.9389,9.1425,8.9205,9.0597,8.9090,8.9397,8.7351,8.9951,8.8418,9.0596,8.6705,9.0893
56829,0.25251,0.0060299,8.5597,8.8221,8.4438,8.7882,8.5672,8.7098,8.3031,8.4784,8.3402,8.5852,8.3882,8.7337
26574,-0.18897,0.0060584,8.7879,8.5821,8.7536,8.6124,8.8856,8.5201,8.8442,8.7772,8.7406,8.5794,8.8564,8.6633
101927178///283635,0.20303,0.0060938,8.6575,8.9578,8.5988,8.6000,8.5602,8.7767,8.6078,8.8469,8.5518,8.7914,8.5941,8.8156
4646,0.42085,0.0061116,8.9617,9.1557,8.9625,9.2799,8.9074,9.4244,8.6086,8.9904,8.6207,8.8713,8.3465,9.2108
4947,0.34771,0.0061255,10.210,10.474,10.090,10.713,10.165,10.590,9.9420,10.109,10.001,10.169,10.031,10.471
100505573,0.26057,0.0061287,8.1460,8.1317,7.7935,8.1300,7.9501,8.3240,8.1707,8.3100,7.9591,8.2364,7.8234,8.2740
151195,0.26149,0.0061405,8.1530,8.4236,7.8740,8.2352,8.0892,8.4866,8.2308,8.4155,8.2870,8.4250,8.2711,8.4883
6603,-0.17460,0.0061409,8.3498,8.0343,8.2650,8.0627,8.2165,8.1283,8.3408,8.0994,8.2981,8.2177,8.1968,8.0770
2197,-0.18048,0.0062392,12.792,12.532,12.717,12.537,12.705,12.487,12.884,12.598,12.721,12.663,12.684,12.603
10445,-0.22226,0.0062404,8.9241,8.5037,8.6540,8.5658,8.8485,8.6367,8.8855,8.4629,8.7743,8.5762,8.6141,8.6216
84247,-0.23646,0.0062489,9.0812,8.8440,9.1185,8.8661,9.1704,9.0099,9.1049,8.7634,9.0354,8.6201,8.9367,8.9248
84337,-0.19417,0.0062524,9.3094,9.0584,9.2923,9.0416,9.1078,8.9195,9.2596,9.0291,9.1498,9.1609,9.2813,9.0255
8323,0.50176,0.0062566,9.1048,9.3637,8.8036,9.4753,9.0767,9.5250,8.7342,8.9065,8.6825,9.0484,8.2868,9.3805
100526693///10093,0.17651,0.0062569,10.112,10.350,10.228,10.357,10.109,10.214,10.194,10.406,10.092,10.384,10.233,10.316
7443,-0.27428,0.0062740,8.5963,8.4939,8.5743,8.1245,8.6163,8.1213,8.6905,8.3502,8.6386,8.4778,8.3918,8.2945
58516,-0.19258,0.0062935,9.0627,8.8854,8.9278,8.8433,9.0346,8.8198,9.1685,8.9263,9.0080,8.9186,9.2082,8.8609
6810,0.15074,0.0063178,8.1330,8.3114,8.1852,8.2250,8.1107,8.2193,8.1165,8.2619,8.0901,8.3240,8.0765,8.2747
56919,-0.19773,0.0063223,8.6677,8.3914,8.6077,8.2831,8.6508,8.3353,8.6425,8.4118,8.5845,8.5208,8.4509,8.4753
9278,-0.21108,0.0063598,8.2799,7.9897,8.3007,8.0835,8.1823,8.0148,8.1378,7.9569,8.2381,7.8191,8.1342,8.1425
6888,-0.18716,0.0064189,11.307,11.045,11.261,11.030,11.232,10.956,11.297,11.012,11.244,11.134,11.079,11.121
100302254///25764///10169,-0.17815,0.0064387,10.923,10.722,10.879,10.756,10.903,10.619,10.810,10.572,10.779,10.635,10.763,10.684
23557,-0.16490,0.0064712,10.069,9.9707,10.069,10.014,10.143,9.9052,10.005,9.8660,10.069,9.8658,10.130,9.8744
5511,-0.16680,0.0064722,9.4881,9.4011,9.4441,9.2588,9.5206,9.2759,9.4266,9.2332,9.3572,9.2649,9.4808,9.2827
11130,-0.48567,0.0065085,9.9262,9.5452,9.8000,9.3200,9.9075,9.2248,10.286,9.8240,10.274,10.022,10.307,9.6512
5704,-0.19291,0.0065099,9.5070,9.3130,9.3878,9.2950,9.5020,9.2351,9.6545,9.3772,9.5368,9.4481,9.5238,9.2860
93129,0.33827,0.0065439,9.0982,9.3424,9.1101,9.4682,9.1294,9.3359,8.7746,9.0634,8.6724,9.1106,8.8685,9.3624
23379,-0.31351,0.0065752,8.9932,8.7610,8.8992,8.4298,9.1656,8.5897,8.7326,8.5814,8.8738,8.4747,8.5913,8.5381
6156,-0.18399,0.0065815,13.299,13.214,13.324,13.178,13.280,13.107,13.430,13.206,13.334,13.245,13.510,13.123
56889,0.19983,0.0065902,8.2307,8.5541,8.2888,8.4365,8.3063,8.4443,8.3430,8.5841,8.4940,8.5290,8.1873,8.5011
51172,0.21437,0.0066243,8.3644,8.4773,8.1161,8.5162,8.1566,8.5256,8.4129,8.3911,8.1868,8.3613,8.1979,8.4495
27248,0.19630,0.0066851,8.2583,8.4497,8.4299,8.4816,8.2256,8.4000,8.1404,8.4417,8.1307,8.4186,8.3196,8.4907
23173,-0.21095,0.0066870,9.2932,9.1172,9.4383,9.0681,9.3271,9.0502,9.4545,9.2422,9.4561,9.2122,9.1978,9.2112
54867,0.16066,0.0067150,9.0260,9.1561,8.9344,9.2519,9.0289,9.1855,9.0365,9.0779,8.9860,9.1425,8.9475,9.1095
1777,0.21156,0.0067271,8.1829,8.2901,7.9473,8.3572,8.1574,8.3784,8.1230,8.1796,8.0934,8.1972,8.0793,8.4503
8723,0.27895,0.0067335,8.3748,8.6510,8.2585,8.5679,8.3206,8.5420,8.3131,8.3287,8.0326,8.3962,7.9919,8.4796
80790,0.18659,0.0067797,8.0799,8.2325,8.1034,8.3032,8.1141,8.2767,8.1584,8.1883,7.9929,8.1776,7.9036,8.2935
51321,-0.18896,0.0067969,10.015,9.6642,9.7968,9.5789,9.8693,9.7865,9.9016,9.6727,9.8286,9.6858,9.9022,9.7920
